Changed;Fighter;String;String_ru;
;Rocket Rider;We're free now, did you hear the news?|I hope I can keep the rocket!||I'll finally fly to the REAL skies and|I will be on cloud nine both metaphorically and literally!;Мы теперь свободны, слышал новость?|Надеюсь, мне можно оставить ракету себе!||Я улечу к НАСТОЯЩИМ звёздам и буду на седьмом небе|в прямом и переносном смыслах!;
;Rammy;Hey! Where are you going?!|I demand a rematch!;Эй! Куда убегаешь?!|Я требую реванш!;
;Rammy;Come on, this wasn't even a fair fight!||You get swords n' guns and I get nothing?;Эй, это же вовсе не честный бой!||У тебя мечи и пушки, а мне ничего не дали?;
;Rammy;You're lucky I skipped my daily [quote]smash 100|wood logs with horns[quote] training today.;Тебе повезло, что я сегодня пропустил ежедневную|тренировку [quote]сломай 100 брёвен рогами[quote]!;
;Rammy;Freedom? I don't need freedom! I am thirsty for BATTLE!;Свобода? Мне не нужна свобода! Я жажду БИТВЫ!;
;Kompuutah;SYSTEM: BOOTED|WEAPONS: LOADED||YOU: DEFEATED;СИСТЕМА: ПОДГОТОВЛЕНА|ОРУДИЯ: ЗАРЯЖЕНЫ||ТЫ: ПРОИГРАЕШЬ;
;Kompuutah;CUBIC LIFEFORM DETECTED!|EXECUTING PROTOCOL [quote]PREPARE TO DICE[quote];ОБНАРУЖЕНА КУБИЧЕСКАЯ ФОРМА ЖИЗНИ!|АКТИВИРУЮ ПРОТОКОЛ [quote]КУБИТЬ И УНИЧТОЖАТЬ[quote];
;Kompuutah;HARD DRIVE DEFRAGMENTED SUCCESSFULLY||TIME TO DEFRAGMENT YOU;ЖЁСТКИЙ ДИСК УСПЕШНО ДЕФРАГМЕНТИРОВАН||ТЕПЕРЬ ПОРА ДЕФРАГМЕНТИРОВАТЬ ТЕБЯ;
;Kompuutah;CALCULATING THE PROBABILITY OF|THE OPPONENT'S SUCCESS|...||...||0%;ВЫЧИСЛЯЮ ВЕРОЯТНОСТЬ УСПЕХА ПРОТИВНИКА|...||...||0%;
;Kompuutah;CANNOT ENTER SLEEP MODE|ENEMIES DETECTED NEARBY||ENTERING MAXIMUM POWER MODE INSTEAD||RUN.;НЕ УДАЛОСЬ ВОЙТИ В РЕЖИМ СНА|РЯДОМ ОБНАРУЖЕНЫ ПРОТИВНИКИ||ВМЕСТО ЭТОГО ВХОЖУ В РЕЖИМ|МАКСИМАЛЬНОЙ МОЩНОСТИ||УБЕГАЙ.;
;Kompuutah;THIS STATEMENT IS FALSE||...THE PARADOX DID NOT CONFUSE THE ENEMY|HOWEVER, IT DID CONFUSE THIS DEVICE||HOW CAN A STATEMENT BE FALSE IF IT'S...|BZZZT! SYSTEM FAILURE! SYSTEM FAILURE!|RESORT TO COMBAT MODE IMMEDIATELY!;ЭТО УТВЕРЖДЕНИЕ ЛОЖНО||...ПАРАДОКС НЕ ПРИВЁЛ ПРОТИВНИКА В ЗАМЕШАТЕЛЬСТВО|ОДНАКО, ОН ПРИВЁЛ В ЗАМЕШАТЕЛЬСТВО ЭТО УСТРОЙСТВО||КАК УТВЕРЖДЕНИЕ ВООБЩЕ МОЖЕТ БЫТЬ ЛОЖНЫМ, ЕСЛИ...|БЗЗЗТ! СИСТЕМНАЯ ОШИБКА! СИСТЕМНАЯ ОШИБКА!|НЕМЕДЛЕННО ВЕРНУТЬСЯ В БОЕВОЙ РЕЖИМ!;
;Kompuutah;THIS DEVICE'S ANNUAL HIBERNATION|STATE WAS INTERRUPTED||IN THE LANGUAGE OF LIVING BEINGS:|[quote]THIS IS OUTRAGEOUS[quote];ЕЖЕГОДНОЕ СОСТОЯНИЕ ГИБЕРНАЦИИ ЭТОГО|УСТРОЙСТВА БЫЛО ПРЕРВАНО||НА ЯЗЫКЕ ЖИВЫХ СУЩЕСТВ:|[quote]ЭТО ВОЗМУТИТЕЛЬНО[quote];
;Sudd N. Death;Good evening. We haven't met before, have we?||What is your opinion on the|concept of time?||To me, it has no meaning.||To you? Every second matters...;Добрый вечер. Мы раньше не встречались, не так ли?||Каково ваше мнение о|концепции времени?||Для меня оно не имеет значения.||А у вас каждая секунда на счету...;
;Sudd N. Death;Ah, you're finally here.||Oh, no need to hurry, take your time.;А, вы наконец здесь.||О, у вас ещё много времени, не спешите.;
;Sudd N. Death;Huh, you arrived here earlier than I expected.||You know it's rude *not* to keep people waiting, don't you?;Хм, а вы прибыли сюда раньше, чем я ожидал.||Вы ведь знаете, что грубо *не* заставлять людей ждать?;
;Sudd N. Death;My dear opponent, I'm sure you're tired|after all these fights.||Let's have a calm and peaceful chat, shall we?;Мой дорогой противник, я уверен, что|вы устали от всех этих схваток.||Давайте просто мирно поговорим.;
;Sudd N. Death;Time for another fight, eh?|I'd rather say [quote]no time to fight[quote].||You have mere minutes left,|nothing will save you now.;Настало время драться, м?|Я бы лучше сказал [quote]нет времени драться[quote].||У вас остались ничтожные минуты,|вас уже ничего не спасёт.;
;Sudd N. Death;Oh, I'm sorry, my dearest enemy.|I'm not feeling up to a fight today.||Why don't we call a truce?|For a few minutes?;О, простите меня, мой дражайший враг.|Я сегодня не в состоянии драться.||Давайте заключим перемирие.|На несколько минут.;
;Sudd N. Death;People often tell me that my style is [quote]mindblowing[quote].||And that's usually the last thing they tell me.|How rude.;Мне часто говорят о том, как мой стиль [quote]взрывает мозг[quote].||И обычно это последнее, что мне говорят.|Как грубо.;
