Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Light Rapier_upgraded,Do [sword]<d6> damage[;] +1|use on odd [gray]([recycle]<evar:rapier_reuses>/2 left),2,attack(d); sfxdamage(target[;] d); if (simulation && ((d % 2) == 1)) bonus(100);,Plasma Gun,MAX5,,RED,,,,_metals,0,NO,NO,hidereuseable,,e.setvar(~rapier_reuses~[;] 2); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 2); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 2); e.reuseable = 0; e.usesleft = 0;,,,,e.reuseable = 0; e.usesleft = 0;,if ((d % 2) == 1 && e.getvar(~rapier_reuses~) > 0) {e.reuseable = 1; e.usesleft = 2; sfx(~_recycle~[;] ~~[;] 0.2); e.setvar(~rapier_reuses~[;] e.getvar(~rapier_reuses~) - 1);},,,
Light Rapier_downgraded,Do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d);,Plasma Gun,MAX5,,RED,,,,_metals,0,NO,NO,,,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,,,,,,,,
Wide Sword,Do [sword]<d6> damage|On 1[;] add [shield]3 shield,2,attack(d); sfxdamage(target[;] d); if (d == 1) {inflictself(SHIELD[;] 3); sfx(~_shield~[;] ~~[;] 0.2);},Protection,MAX5,,ORANGE,change_power,complicate,,_metals,0,NO,NO,,,,,,,,,,,,,if (d == 1) {inflictself(SHIELD[;] 3); sfx(~_shield~[;] ~~[;] 0.2);}
Wide Sword_upgraded,Do [sword]<d6> damage|On 1[;] add [shield]5 shield,2,attack(d); sfxdamage(target[;] d); if (d == 1) {inflictself(SHIELD[;] 5); sfx(~_shield~[;] ~~[;] 0.2);},Protection,MAX5,,ORANGE,,,,_metals,0,NO,NO,,,,,,,,,,,,,if (d == 1) {inflictself(SHIELD[;] 3); sfx(~_shield~[;] ~~[;] 0.2);}
Jammed Cannon,Do [sword]<d6> damage[;] but take|[sword]damage of first dice,1,if (!simulation) {if (e.getvar(~jammed_cannon_forward~) == 1) {attack(d); sfxdamage(target[;] d); e.setvar(~jammed_cannon_forward~[;] 0); if (target.hp > 0) {if (getstatusself(FURY) > 0) {removestatusself(FURY); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? -e.height : 2160) : (e.castdirection != 1 ? 2160 : -e.height)); e.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] e.assigneddice[;] 0[;] true);}} sfx(~_plasma~[;] ~~[;] 0.1);} else {attackself(actualdice[0].basevalue); sfxdamage(self[;] actualdice[0].basevalue); if (self.hp > 0) {e.setvar(~jammed_cannon_forward~[;] 1); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? 2160 : -e.height) : (e.castdirection != 1 ? -e.height : 2160)); e.doequipmentaction(self[;] target[;] (self.isplayer ? -1 : 1)[;] e.assigneddice[;] 0[;] true);} sfx(~roboterror~);}} else {attack(d); attackself(actualdice[0].basevalue);},Plasma Gun,NORMAL|NORMAL,,RED,change_power,change_power,,none,0,YES,NO,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Jammed Cannon_upgraded,Do [sword]<d6> damage[;] but take|[sword]damage of first dice,1,if (!simulation) {if (e.getvar(~jammed_cannon_forward~) == 1) {attack(d); sfxdamage(target[;] d); e.setvar(~jammed_cannon_forward~[;] 0); if (target.hp > 0) {if (getstatusself(FURY) > 0) {removestatusself(FURY); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? -e.height : 2160) : (e.castdirection != 1 ? 2160 : -e.height)); e.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] e.assigneddice[;] 0[;] true);}} sfx(~_plasma~[;] ~~[;] 0.1);} else {attackself(actualdice[0].basevalue); sfxdamage(self[;] actualdice[0].basevalue); if (self.hp > 0) {e.setvar(~jammed_cannon_forward~[;] 1); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? 2160 : -e.height) : (e.castdirection != 1 ? -e.height : 2160)); e.doequipmentaction(self[;] target[;] (self.isplayer ? -1 : 1)[;] e.assigneddice[;] 0[;] true);} sfx(~roboterror~);}} else {attack(d); attackself(actualdice[0].basevalue);},Plasma Gun,NORMAL|NORMAL|NORMAL,,RED,,,,none,0,YES,NO,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Jammed Cannon_weakened,Do [sword]<d6> damage[;] but take|[sword]damage of first dice,1,if (!simulation) {if (e.getvar(~jammed_cannon_forward~) == 1) {attack(d); sfxdamage(target[;] d); e.setvar(~jammed_cannon_forward~[;] 0); if (target.hp > 0) {if (getstatusself(FURY) > 0) {removestatusself(FURY); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? -e.height : 2160) : (e.castdirection != 1 ? 2160 : -e.height)); e.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] e.assigneddice[;] 0[;] true);}} sfx(~_plasma~[;] ~~[;] 0.1);} else {attackself(actualdice[0].basevalue); sfxdamage(self[;] actualdice[0].basevalue); if (self.hp > 0) {e.setvar(~jammed_cannon_forward~[;] 1); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? 2160 : -e.height) : (e.castdirection != 1 ? -e.height : 2160)); e.doequipmentaction(self[;] target[;] (self.isplayer ? -1 : 1)[;] e.assigneddice[;] 0[;] true);} sfx(~roboterror~);}} else {attack(d); attackself(actualdice[0].basevalue);},Plasma Gun,MIN5|MAX5|MAX5,,RED,,,,none,0,YES,NO,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Jammed Cannon_downgraded,Do [sword]<d6> damage[;] but take|[sword]damage of first dice,1,if (!simulation) {if (e.getvar(~jammed_cannon_forward~) == 1) {attack(d); sfxdamage(target[;] d); e.setvar(~jammed_cannon_forward~[;] 0); if (target.hp > 0) {if (getstatusself(FURY) > 0) {removestatusself(FURY); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? -e.height : 2160) : (e.castdirection != 1 ? 2160 : -e.height)); e.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] e.assigneddice[;] 0[;] true);}} sfx(~_plasma~[;] ~~[;] 0.1);} else {attackself(actualdice[0].basevalue); sfxdamage(self[;] actualdice[0].basevalue); if (self.hp > 0) {e.setvar(~jammed_cannon_forward~[;] 1); e.show = true; e.y = (self.isplayer ? (e.castdirection != 1 ? 2160 : -e.height) : (e.castdirection != 1 ? -e.height : 2160)); e.doequipmentaction(self[;] target[;] (self.isplayer ? -1 : 1)[;] e.assigneddice[;] 0[;] true);} sfx(~roboterror~);}} else {attack(d); attackself(actualdice[0].basevalue);},Plasma Gun,MIN5|MAX5,,RED,,,,none,0,YES,NO,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Longspear,Do [sword]<d6> damage|+[sword]3 when [shield]shielded,2,var dmg = d; if (getstatusself(SHIELD) > 0) dmg += 3; attack(dmg); sfxdamage(target[;] dmg);,Plasma Gun,EVEN,,ORANGE,simplify,change_power,,_metals,0,NO,NO,,,,,,,,,,,,,
Longspear_downgraded,Do [sword]<d6> damage|when [shield]shielded,2,if (getstatusself(SHIELD) > 0) {attack(dmg); sfxdamage(target[;] dmg);},Plasma Gun,EVEN|FREE3,,ORANGE,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Toothy Shield,Do [sword]<d6> damage|Add [shield]<d6> shield,2,attack(d); sfxdamage(target[;] d); inflictself(SHIELD[;] d);,Protection,MAX3,,ORANGE,increaserange,decreaserange,,_shield,0,NO,NO,,,,,,,,,,,,,inflictself(SHIELD[;] d);
Sturdy Helmet,Add [shield]<d6> shield,2,inflictself(SHIELD[;] d);,Protection,REQUIRE2|FREE4,,ORANGE,change_power,change_power,,_shield,0,YES,NO,,,,,,,,,,,,,
Sturdy Helmet_upgraded,Add [shield]<d6> shield,2,inflictself(SHIELD[;] d);,Protection,REQUIRE1|FREE5,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Sturdy Helmet_downgraded,Add [shield]<d6> shield,2,inflictself(SHIELD[;] d);,Protection,REQUIRE3|FREE3,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Spy Kunai,Do [sword]<double> damage|On kill[;] +[shield]6 next fight,1,attack(d * 2); sfxdamage(target[;] d * 2); if (target.hp <= 0) {if (!simulation) self.setvar(~mqnextfightshield~[;] self.getvar(~mqnextfightshield~) + 6); else bonus(1000);},Protection,REQUIRE1,,ORANGE,increaserange,change_power,,_metals,0,NO,NO,,,,,,,,,,,,,
Spy Kunai_downgraded,Do [sword]<d6> damage|On kill[;] +[shield]6 next fight,1,attack(d); sfxdamage(target[;] d); if (target.hp <= 0) {if (!simulation) self.setvar(~mqnextfightshield~[;] self.getvar(~mqnextfightshield~) + 6); else bonus(1000);},Protection,REQUIRE1,,ORANGE,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Pathfinder's Compass,Gain a random blessing[;] can|only use on even turns,1,if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {new elements.Skill(~Power Up~).execute(args[0][;] args[1]);}[;] 1 / 60[;] self[;] target]); else bonus(1000);,Power Up,COUNTDOWN,6,GREEN,change_power,change_power,,none,0,YES,NO,,,,,if ((turn % 2) == 0) {e.availablethisturn = true;} else {e.availablethisturn = false; e.unavailabletext = e.displayname + e.namemodifier; e.unavailabledetails = [~Unavailable (Odd Turn)~];},,,,,,,,
Pathfinder's Compass_upgraded,Gain a random blessing[;] can|only use on odd turns,1,if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {new elements.Skill(~Power Up~).execute(args[0][;] args[1]);}[;] 1 / 60[;] self[;] target]); else bonus(1000);,Power Up,COUNTDOWN,6,GREEN,,,,none,0,YES,NO,,,,,if ((turn % 2) == 1) {e.availablethisturn = true;} else {e.availablethisturn = false; e.unavailabletext = e.displayname + e.namemodifier; e.unavailabledetails = [~Unavailable (Even Turn)~];},,,,,,,,
Pathfinder's Compass_downgraded,50% chance to gain|a random blessing,1,var odds = 50; if (getstatusself(~luck~) > 0) odds += 50 * getstatusself(~luck~); if (getstatusself(~luck+~) > 0) odds = 100; if (chance(odds)) {if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {new elements.Skill(~Power Up~).execute(args[0][;] args[1]);}[;] 1 / 60[;] self[;] target]); else bonus(1000);} else self.textparticle(~No effect!~);,Power Up,COUNTDOWN,6,GREEN,,,,none,0,YES,NO,,,,,e.availablethisturn = true;,,,,,,,,
Bunker Assembler,Add [shield]8 shield[;] countdown|-2 on each item use,1,inflictself(SHIELD[;] 8);,Protection,COUNTDOWN,24,ORANGE,change_power,change_power,,_shield,0,YES,NO,,,,,,,e.remainingcountdown -= 2; if (e.remainingcountdown < 0) e.remainingcountdown = 0;,,,,,,
Bunker Assembler_upgraded,Add [shield]8 shield[;] countdown|-3 on each item use,1,inflictself(SHIELD[;] 8);,Protection,COUNTDOWN,24,ORANGE,,,,_shield,0,YES,NO,,,,,,,e.remainingcountdown -= 3; if (e.remainingcountdown < 0) e.remainingcountdown = 0;,,,,,,
Bunker Assembler_downgraded,Add [shield]8 shield[;] countdown|-1 on each item use,1,inflictself(SHIELD[;] 8);,Protection,COUNTDOWN,24,ORANGE,,,,_mqencase,0,YES,NO,,,,,,,e.remainingcountdown -= 1; if (e.remainingcountdown < 0) e.remainingcountdown = 0;,,,,,,
Malachite Spike,Do [sword]<d6> damage|Encase [mqencase]1 equipment,2,attack(d); sfxdamage(target[;] d); inflict(~mqencase~);,Topaz Trap,REQUIRE6,,GREEN,simplify,change_power,mqencase,_mqencase,0,NO,NO,,,,,,,,,,,,,
Malachite Spike_downgraded,Do [sword]<d6> damage|Encase [mqencase]1 equipment,2,attack(d); sfxdamage(target[;] d); inflict(~mqencase~);,Topaz Trap,REQUIRE3,,GREEN,,,,_mqencase,0,NO,NO,,,,,,,,,,,,,
Malachite Spike?,Do [sword]<d6> damage|Encase equipment by [mqencase]6,2,attack(d); sfxdamage(target[;] d); inflict(~mqencase~[;] 6);,Topaz Trap,REQUIRE6,,GREEN,simplify,change_power,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Malachite Spike?_downgraded,Do [sword]<d6> damage|Encase equipment by [mqencase]3,2,attack(d); sfxdamage(target[;] d); inflict(~mqencase~[;] 3);,Topaz Trap,REQUIRE3,,GREEN,,,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Crystal Growth,Encase [mqencase]1 equipment,1,inflict(~mqencase~);,Topaz Trap,ODD,,GREEN,simplify,complicate,mqencase,_mqencase,0,NO,NO,,,,,,,,,,,,,
Crystal Growth?,Encase equipment by [mqencase]6,1,inflict(~mqencase~[;] 6);,Topaz Trap,ODD,,GREEN,simplify,complicate,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Chlorinator,Encase [mqencase]1 equipment|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] getstatus(ICE));,Topaz Trap,DOUBLES|DOUBLES,,GREEN,change_power,change_power,mqencase,_mqencase,0,NO,NO,,,,,,,,,,,,,
Chlorinator_upgraded,Encase [mqencase]1 equipment|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] getstatus(ICE));,Topaz Trap,EVEN,,GREEN,,,,_mqencase,0,NO,NO,,,,,,,,,,,,,
Chlorinator_downgraded,Encase [mqencase]1 equipment|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] getstatus(ICE));,Topaz Trap,REQUIRE6|REQUIRE6,,GREEN,,,,_mqencase,0,NO,NO,,,,,,,,,,,,,
Chlorinator?,Encase equipment by [mqencase]6|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] 6 * getstatus(ICE));,Topaz Trap,DOUBLES|DOUBLES,,GREEN,change_power,change_power,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Chlorinator?_upgraded,Encase equipment by [mqencase]6|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] 6 * getstatus(ICE));,Topaz Trap,EVEN,,GREEN,,,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Chlorinator?_downgraded,Encase equipment by [mqencase]6|for every [ice]1 freeze on enemy,1,inflict(~mqencase~[;] 6 * getstatus(ICE));,Topaz Trap,REQUIRE6|REQUIRE6,,GREEN,,,,_mqencase,0,NO,NO,alternateversion,,,,,,,,,,,,
Tuning Fork,Do [sword]<d6> damage for|every [mqencase]1 encase on enemy,1,attack(d * getstatus(~mqencase~)); sfxdamage(target[;] d * getstatus(~mqencase~));,Plasma Gun,MAX3,,GREEN,increaserange,decreaserange,mqencase,_mqencasebreak,0,NO,NO,,,,,,,,,,,,,
Tuning Fork?,Do [sword]<d6> damage for|every [mqencase]6 encase on enemy,1,attack(d * (getstatus(~mqencase~) / 6)); sfxdamage(target[;] d * (getstatus(~mqencase~) / 6));,Plasma Gun,MAX3,,GREEN,increaserange,decreaserange,,_mqencasebreak,0,NO,NO,alternateversion,,,,,,,,,,,,
Hyper Amethyst,Add [shield]7 shield[;] but gain|encase [mqencase]ALL next turn,1,inflictself(SHIELD[;] 7); jinx(~Hyper_Amethyst~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] !simulation ? runscript(~megaquest/getequipmentcount~[;] [self]) : 8);,Protection,COUNTDOWN,7,ORANGE,change_power,change_power,mqencase,_shield,0,YES,NO,,,,,,,,,,,,,
Hyper Amethyst_upgraded,Add [shield]7 shield[;] but gain|encase [mqencase]2 next turn,1,inflictself(SHIELD[;] 7); jinx(~Hyper_Amethyst+~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] 2);,Protection,COUNTDOWN,7,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Hyper Amethyst_downgraded,Add [shield]3 shield[;] but gain|encase [mqencase]ALL next turn,1,inflictself(SHIELD[;] 3); jinx(~Hyper_Amethyst-~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] !simulation ? runscript(~megaquest/getequipmentcount~[;] [self]) : 8);,Protection,COUNTDOWN,7,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Hyper Amethyst?,Add [shield]7 shield[;] but gain|encase [mqencase]18 next turn,1,inflictself(SHIELD[;] 7); jinx(~Hyper_Amethyst~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] 18);,Protection,COUNTDOWN,7,ORANGE,change_power,change_power,,_shield,0,YES,NO,alternateversion,,,,,,,,,,,,
Hyper Amethyst?_upgraded,Add [shield]7 shield[;] but gain|encase [mqencase]12 next turn,1,inflictself(SHIELD[;] 7); jinx(~Hyper_Amethyst+~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] 12);,Protection,COUNTDOWN,7,ORANGE,,,,_shield,0,YES,NO,alternateversion,,,,,,,,,,,,
Hyper Amethyst?_downgraded,Add [shield]3 shield[;] but gain|encase [mqencase]18 next turn,1,inflictself(SHIELD[;] 3); jinx(~Hyper_Amethyst-~[;] ~encase [mqencase]%VAR% equipment~[;] ~Encase [mqencase]%VAR% equipment~[;] ~inflict(\~mqencase\~[;] %VAR%); sfx(\~_mqencase\~);~[;] self[;] target[;] 1[;] 18);,Protection,COUNTDOWN,7,ORANGE,,,,_shield,0,YES,NO,alternateversion,,,,,,,,,,,,
Bumpspade,Dice value +1|[weaken]Weaken enemy on 1,1,givedice(d + 1); if (d == 1) {inflict(WEAKEN); sfx(~_weaken~[;] ~~[;] 0.2);},Megabump,NORMAL,,ORANGE,change_power,change_power,,,0,NO,NO,,1,,,,,,,,e.castdirection = (d == 1 ? 1 : -1);,,,givedice(d + 1);
Bumpspade_upgraded,Dice value +1|[weaken]Weaken enemy on 6,1,givedice(d + 1); if (d == 6) {inflict(WEAKEN); sfx(~_weaken~[;] ~~[;] 0.2);},Megabump,NORMAL,,ORANGE,,,,,0,NO,NO,,,,,,,,,,e.castdirection = (d == 6 ? 1 : -1);,,,givedice(d + 1);
Bumpspade_downgraded,Dice value +1,1,givedice(d + 1);,Megabump,NORMAL,,ORANGE,,,,,0,YES,NO,,,,,,,,,,e.castdirection = -1;,,,
Judgenudge,Dice value -1|[curse]Curse enemy on 1,1,if (d > 1) givedice(d - 1); if (d == 1) {inflict(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Meganudge,NORMAL,,PURPLE,change_power,change_power,,none,0,NO,NO,,1,,,,,,,,e.castdirection = (d == 1 ? 1 : -1);,,,if (d > 1) givedice(d - 1);
Judgenudge_upgraded,Dice value -1|[curse]Curse enemy on 6,1,if (d > 1) givedice(d - 1); if (d == 6) {inflict(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Meganudge,NORMAL,,PURPLE,,,,none,0,NO,NO,,,,,,,,,,e.castdirection = (d == 6 ? 1 : -1);,,,if (d > 1) givedice(d - 1);
Judgenudge_downgraded,Dice value -1,1,if (d > 1) givedice(d - 1);,Meganudge,NORMAL,,PURPLE,,,,none,0,NO,NO,,,,,,,,,,e.castdirection = -1;,,,
Stunula,Flip a dice upside down|[shock]Shock enemy on 6,1,givedice(7 - d); if (d == 6) {inflict(SHOCK); sfx(~_shock~);},Megaflip,NORMAL,,YELLOW,change_power,change_power,,none,0,YES,NO,,,,,,,,,,e.castdirection = (d == 6 ? 1 : -1);,,,givedice(7 - d);
Stunula_upgraded,Flip a dice upside down|[shock]Shock enemy on 1,1,givedice(7 - d); if (d == 1) {inflict(SHOCK); sfx(~_shock~);},Megaflip,NORMAL,,YELLOW,,,,none,0,YES,NO,,,,,,,,,,e.castdirection = (d == 1 ? 1 : -1);,,,givedice(7 - d);
Stunula_downgraded,Flip a dice upside down,1,givedice(7 - d);,Megaflip,NORMAL,,YELLOW,,,,none,0,NO,NO,,,,,,,,,,e.castdirection = -1;,,,
Cursed Axe,Do [sword]<double> damage|Get [curse]cursed every turn,2,attack(d * 2);,Dramatic Pause,NORMAL,,PURPLE,add1,complicate,,none,0,NO,NO,cannotsteal,,,,inflictself(CURSE);,,,,,,,,
